modelo,threshold,recall,precision,f1,roc_auc,pr_auc
Logistic Regression,0.3,0.9113,0.0254,0.0494,0.8386,0.1937
Logistic Regression,0.4,0.7742,0.0354,0.0677,0.8386,0.1937
Logistic Regression,0.5,0.7097,0.0557,0.1032,0.8386,0.1937
Random Forest,0.3,0.7984,0.034,0.0651,0.8234,0.224
Random Forest,0.4,0.6774,0.0438,0.0823,0.8234,0.224
Random Forest,0.5,0.5887,0.0664,0.1194,0.8234,0.224
MLP Neural Network,0.3,0.7016,0.0403,0.0762,0.7971,0.2534
MLP Neural Network,0.4,0.6613,0.0449,0.0841,0.7971,0.2534
MLP Neural Network,0.5,0.6371,0.0599,0.1095,0.7971,0.2534
