anio,total,graves,casos_anuales,graves_anuales
2018,2134,23,2134,23
2019,8392,58,8392,58
2020,2446,23,2446,23
2021,2427,61,2427,61
2022,3993,95,3993,95
2023,6129,170,6129,170
2024,3631,46,3631,46
2025,7419,123,7419,123
2026,4,0,4,0
